,total_images,big_images,middle_images,small_images,very_small_images,background_images,videos,total_videos,big_videos,small_videos,domain,type,total_length,headings,external_links,internal_links,total_links,RA_big_images/total_images,RA_middle_images/total_images,RA_small_images/total_images,RA_very_small_images/total_images,RA_total_images/total_length,RA_big_and_middle_images/total_length,RA_internal_links/external_links,RA_headings/total_length
de.ign.com,160,0,4,156,0,0,{},0,0,0,ent,"news
",50303,162,36,520,556,0.0,0.025,0.975,0.0,0.0031807248076655466,7.951812019163867e-05,14.444444444444445,0.003220483867761366
ditib.de,11,0,1,5,5,0,{},0,0,0,rel,"image
",4216,0,11,126,137,0.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0026091081593927895,0.00023719165085388995,11.454545454545455,0.0
marginalie.hypotheses.org,7,1,3,0,3,0,{},0,0,0,uni,"news
",18381,37,29,232,261,0.14285714285714285,0.42857142857142855,0.0,0.42857142857142855,0.0003808280289429302,0.00021761601653881726,8.0,0.0020129481529840595
netzpolitik.org,54,11,6,37,0,0,{},0,0,0,jou,"news
",20604,70,8,249,257,0.2037037037037037,0.1111111111111111,0.6851851851851852,0.0,0.0026208503203261502,0.0008250825082508251,31.125,0.00339739856338575
adidas.com,39,4,3,31,1,0,"{'https://brand.assets.adidas.com/video/upload/q_auto,vc_auto/video/upload/global%20brand%20publishing/Statement/IVYPARK_DROP3/originals-ss21-ivypark-educate-onsite-masthead-video-d.mp4': {'height': 1287, 'width': 2543}, 'https://brand.assets.adidas.com/video/upload/q_auto,vc_auto/video/upload/adidas-ss21-football-tiro-q2-hp-launch-2x1_teaser-1-d_uptwbb.mp4': {'height': 509, 'width': 765}}",2,2,0,eco,"image
",10285,14,44,468,512,0.10256410256410256,0.07692307692307693,0.7948717948717948,0.02564102564102564,0.0037919299951385513,0.0006806028196402528,10.636363636363637,0.0013612056392805056
cdu.de,19,5,5,9,0,0,{},0,0,0,pol,"image
",2643,16,13,129,142,0.2631578947368421,0.2631578947368421,0.47368421052631576,0.0,0.007188800605372683,0.0037835792659856224,9.923076923076923,0.006053726825576996
ekd.de,36,1,15,20,0,1,{},0,0,0,rel,"image
",23819,61,13,469,482,0.027777777777777776,0.4166666666666667,0.5555555555555556,0.0,0.0015113984634115621,0.0006717326504051388,36.07692307692308,0.0025609807296695917
faz.net,32,3,2,27,0,2,{},0,0,0,jou,"news
",55114,167,13,760,773,0.09375,0.0625,0.84375,0.0,0.0005806147258409841,9.072105091265377e-05,58.46153846153846,0.003030083100482636
fdp.de,9,1,7,1,0,0,"{'': {'height': 1431, 'width': 2543}}",1,1,0,pol,image,3354,8,6,97,103,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0,0.0026833631484794273,0.002385211687537269,16.166666666666668,0.002385211687537269
gamestar.de,49,2,4,43,0,0,{},0,0,0,ent,"news
",14899,118,27,390,417,0.04081632653061224,0.08163265306122448,0.8775510204081632,0.0,0.0032888113296194376,0.00040271159138197197,14.444444444444445,0.007919994630512114
heise.de,22,0,3,19,0,0,{},0,0,0,jou,"news
",32982,164,20,372,392,0.0,0.13636363636363635,0.8636363636363636,0.0,0.0006670305014856589,9.095870474804439e-05,18.6,0.0049724091928930935
katholisch.de,35,5,4,26,0,1,{},0,0,0,rel,"news
",27274,52,102,263,365,0.14285714285714285,0.11428571428571428,0.7428571428571429,0.0,0.001283273447239129,0.0003299846007186331,2.5784313725490198,0.0019065776930409914
lufthansa.com,10,1,2,7,0,0,{},0,0,0,eco,"image
",6598,50,12,241,253,0.1,0.2,0.7,0.0,0.001515610791148833,0.0004546832373446499,20.083333333333332,0.007578053955744165
nike.com,15,9,6,0,0,0,{},0,0,0,eco,"image
",12894,30,6,568,574,0.6,0.4,0.0,0.0,0.0011633317822242904,0.0011633317822242904,94.66666666666667,0.002326663564448581
nytimes.com,77,2,5,70,0,1,"{'https://vp.nyt.com/video/2021/02/11/91753_1_15vid-stone-5_wg_720p.mp4': {'height': 308, 'width': 462}, '': {'height': 298, 'width': 529}}",2,0,2,jou,"news
",21415,243,7,551,558,0.025974025974025976,0.06493506493506493,0.9090909090909091,0.0,0.0035956105533504553,0.0003268736866682232,78.71428571428571,0.011347186551482605
prosieben.de,33,5,27,1,0,32,{},0,0,0,ent,"image
",11225,259,35,231,266,0.15151515151515152,0.8181818181818182,0.030303030303030304,0.0,0.0029398663697104677,0.0028507795100222717,6.6,0.02307349665924276
ruhr-uni-bochum.de,29,0,23,6,0,0,{},0,0,0,uni,"image
",7581,11,51,151,202,0.0,0.7931034482758621,0.20689655172413793,0.0,0.00382535285582377,0.0030339005408257487,2.9607843137254903,0.0014509959108297058
spd.de,3,1,0,2,0,1,{},0,0,0,pol,"image
",3596,21,4,101,105,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0008342602892102336,0.00027808676307007786,25.25,0.005839822024471635
uni-bielefeld.de,13,6,2,5,0,11,{},0,0,0,uni,"image
",5686,18,10,164,174,0.46153846153846156,0.15384615384615385,0.38461538461538464,0.0,0.0022863172704889203,0.0014069644741470278,16.4,0.0031656700668308124
volkswagen.de,4,4,0,0,0,0,{},0,0,0,eco,"image
",15947,16,28,248,276,1.0,0.0,0.0,0.0,0.0002508308772809933,0.0002508308772809933,8.857142857142858,0.0010033235091239732
